long,lat,group,order,region,subregion,state,longCent,latCent
-87.462005615234375,30.389680862426758,1,1,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.48493194580078,30.37249183654785,1,2,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.52503204345703,30.37249183654785,1,3,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.53076171875,30.332386016845703,1,4,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.57086944580078,30.3266544342041,1,5,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.58805847167969,30.3266544342041,1,6,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.59378814697266,30.309467315673828,1,7,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.59378814697266,30.286548614501953,1,8,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.67400360107422,30.275089263916016,1,9,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.81151580810547,30.257902145385742,1,10,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.88026428222656,30.246440887451172,1,11,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.92037200927734,30.246440887451172,1,12,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.95475006103516,30.246440887451172,1,13,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.006317138671875,30.240713119506836,1,14,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.01777648925781,30.25217056274414,1,15,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.01204681396484,30.269359588623047,1,16,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.99485778808594,30.275089263916016,1,17,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.95475006103516,30.275089263916016,1,18,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.90318298339844,30.280820846557617,1,19,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.82869720458984,30.286548614501953,1,20,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.80005645751953,30.286548614501953,1,21,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.80005645751953,30.3266544342041,1,22,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.8172378540039,30.34384536743164,1,23,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.84015655517578,30.383953094482422,1,24,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.85162353515625,30.401142120361328,1,25,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.8745346069336,30.412599563598633,1,26,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.90318298339844,30.424060821533203,1,27,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.92610168457031,30.446979522705078,1,28,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.93183135986328,30.492813110351563,1,29,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.94329071044922,30.527193069458008,1,30,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.92037200927734,30.561569213867188,1,31,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.914642333984375,30.584487915039063,1,32,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.92610168457031,30.618864059448242,1,33,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.92037200927734,30.67043113708496,1,34,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.94902038574219,30.699077606201172,1,35,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-87.98912811279297,30.790752410888672,1,36,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.006317138671875,30.79648208618164,1,37,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.01777648925781,30.802209854125977,1,38,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.03496551513672,30.790752410888672,1,39,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.04642486572266,30.756376266479492,1,40,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.052154541015625,30.727725982666016,1,41,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.052154541015625,30.710538864135742,1,42,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.06360626220703,30.687620162963867,1,43,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.06934356689453,30.681888580322266,1,44,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.08080291748047,30.630325317382813,1,45,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.08080291748047,30.613136291503906,1,46,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.097991943359375,30.607406616210938,1,47,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.10944366455078,30.595945358276367,1,48,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.11518096923828,30.584487915039063,1,49,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.10944366455078,30.555837631225586,1,50,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.12091064453125,30.481355667114258,1,51,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.12091064453125,30.441247940063477,1,52,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.12664031982422,30.389680862426758,1,53,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.13236999511719,30.361034393310547,1,54,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.143829345703125,30.34384536743164,1,55,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.16101837158203,30.338115692138672,1,56,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.17247772216797,30.338115692138672,1,57,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.18965911865234,30.355304718017578,1,58,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.22404479980469,30.378223419189453,1,59,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.2354965209961,30.395410537719727,1,60,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.28706359863281,30.401142120361328,1,61,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.31571197509766,30.401142120361328,1,62,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.33290100097656,30.401142120361328,1,63,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.35009765625,30.424060821533203,1,64,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.39020538330078,30.412599563598633,1,65,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.40738677978516,30.733457565307617,1,66,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.4188461303711,30.99701690673828,1,67,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.43030548095703,31.12306785583496,1,68,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.4532241821289,31.432466506958008,1,69,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.46468353271484,31.696025848388672,1,70,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.47614288330078,31.89082908630371,1,71,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.43030548095703,32.22314453125,1,72,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.43030548095703,32.30908966064453,1,73,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.39020538330078,32.5783805847168,1,74,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.35009765625,32.92215347290039,1,75,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
-88.33863067626953,32.98517990112305,1,76,alabama,NA,Alabama,-86.83042392038291,32.803164176253794
