longCent,latCent,state
-86.83042392038291,32.803164176253794,Alabama
-111.66786419058273,34.30060124626366,Arizona
-92.44012653057223,34.90418476401205,Arkansas
-119.60153592790809,37.2690100105916,California
-105.55250614263359,38.99796668047923,Colorado
-72.7259793835999,41.625657209666336,Connecticut
-75.51491652896254,39.00558251865384,Delaware
-77.03409920378279,38.91078737046958,District of Columbia
-82.49180510491168,28.657430437263603,Florida
-83.45852913644349,32.651653024259836,Georgia
-114.65668603606004,44.390218385338336,Idaho
-89.20006502180257,40.07010001302038,Illinois
-86.27759301376952,39.916748096917196,Indiana
-93.49368698911312,42.08624292336576,Iowa
-98.38827135500435,38.48882178997041,Kansas
-85.28079119360714,37.532833146875475,Kentucky
-92.00829838432962,31.084595370635824,Louisiana
-69.23425350998059,45.40708070618305,Maine
-76.81448593581234,39.050369882562286,Maryland
-71.8452017610497,42.274150174075686,Massachusetts
-84.62014107807191,43.49422056094055,Michigan
-94.29402268316207,46.32879631833649,Minnesota
-89.6704742748726,32.757672304048896,Mississippi
-92.48330566387827,38.37653509207976,Missouri
-109.64394102565744,47.03273852183194,Montana
-99.81265319257984,41.52550200485405,Nebraska
-116.65796942772279,39.3641375596645,Nevada
-71.57549052694715,43.68753558663936,New Hampshire
-74.6669684549282,40.19374100903225,New Jersey
-106.1121305120958,34.41656191159889,New Mexico
-75.58894793455266,43.01762441393339,New York
-79.40853643128459,35.54460811936018,North Carolina
-100.46905945393455,47.44577277642056,North Dakota
-82.79718195372729,40.304126629547866,Ohio
-97.52313296900522,35.59115091530716,Oklahoma
-120.52835224977021,43.93953319548709,Oregon
-77.80132599818259,40.877364490490194,Pennsylvania
-71.52877964130913,41.68364462628847,Rhode Island
-80.90505935080323,33.92244289455517,South Carolina
-100.21973361696287,44.431921445141334,South Dakota
-86.33578242967911,35.84450970469765,Tennessee
-99.37250008628678,31.50535079447164,Texas
-111.67877193700188,39.32365254899237,Utah
-72.66686003160213,44.077587227788996,Vermont
-78.89655062776347,37.515802203628034,Virginia
-120.3956938639407,47.37073147841161,Washington
-80.62365356336151,38.646186689615014,West Virginia
-90.0117079633965,44.63285282118125,Wisconsin
-107.55736087934399,43.003904756799365,Wyoming
